name_gr,name_en,categories,address,phone,url
"Κέντρο Πολιτισμού «Ελληνικός Κόσμος» ","Cultural Centre Hellenic Cosmos","Μουσεία Εξειδικευμένα μουσεία ","Pireos 254 Tavros Αθήνα 17778,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d1674838-Reviews-Cultural_Centre_Hellenic_Cosmos-Athens_Attica.html"
"Ολυμπιακό Αθλητικό Κέντρο Αθηνών \"Σπύρος Λούης\" ","Olympic Athletic Center of Athens O.A.K.A. Spiros Louis","Παιχνίδια και διασκέδαση Αθλητικά συγκροτήματα ","Κηφισίας 37 Μαρούσι Αθήνα 151 23,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2329800-Reviews-Olympic_Athletic_Center_of_Athens_O_A_K_A_Spiros_Louis-Athens_Attica.html"
"Μουσείου Ελληνικής Λαϊκής Τέχνης ","Greek Folk Art Museum (Museo Ellinikis Laikis Technis)","Μουσεία Μουσεία τέχνης ","Κυδαθηναίων 17 Πλάκα Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242818-Reviews-Greek_Folk_Art_Museum_Museo_Ellinikis_Laikis_Technis-Athens_Attica.html"
"Ιερός Ναός Αγίας Σοφίας Ακροπόλεως ","St. Sophia’s Church of Acropolis","Μνημεία και αξιοθέατα Μνημεία και σημεία ενδιαφέροντος ","ΔΙΟΝΥΣΙΟΥ ΑΡΕΟΠΑΓΙΤΟΥ 45 Αθήνα 117 42,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8123913-Reviews-St_Sophia_s_Church_of_Acropolis-Athens_Attica.html"
"Μουσείο Φρυσίρα ","Frissiras Museum","Μουσεία Ψώνια ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d3572034-Reviews-Frissiras_Museum-Athens_Attica.html"
"Οδός Πειραιώς ","Pireos Street","Μνημεία και αξιοθέατα ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d504746-Reviews-Pireos_Street-Athens_Attica.html"
"Άγαλμα Κολοκοτρώνη ","Kolokotroni Statue","Μνημεία και αξιοθέατα Μνημεία και αγάλματα ","Σταδίου 13 Αθήνα 10561,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d12295887-Reviews-Kolokotroni_Statue-Athens_Attica.html"
"Γραφείο Πληροφοριών ","Athens Tourist Information Centre","Πηγές ενημέρωσης ταξιδιωτών Κέντρα επισκεπτών ","Διονυσίου Αρεοπαγήτου 18-20 Plaka Αθήνα 11742,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8021532-Reviews-Athens_Tourist_Information_Centre-Athens_Attica.html"
"Μουσείο Ιστορίας Πανεπιστημίου Αθηνών ","Museum of the History of Athens University","Μουσεία Μουσεία ιστορίας ","Θόλου 5, Πλάκα Αθήνα 105 56,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d566826-Reviews-Museum_of_the_History_of_Athens_University-Athens_Attica.html"
"Αθηναΐς Πολυχώρος Πολιτισμού ","Athinais","Μνημεία και αξιοθέατα Πηγές ενημέρωσης ταξιδιωτών ","Καστοριάς 34-36 Βοτανικός Αθήνα 104 47,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d531645-Reviews-Athinais-Athens_Attica.html"
"Φεστιβάλ Αθηνών & Επιδαύρου ","Athens and Epidaurus Festival","Εκδηλώσεις Φεστιβάλ μουσικής ","Χατζηχρήστου 23 Αθήνα 117 42,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8820409-Reviews-Athens_and_Epidaurus_Festival-Athens_Attica.html"
"Λίμνη Μπελέτσι ","Lake Beletsi","Φύση και πάρκα Υδάτινα σώματα ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d12803388-Reviews-Lake_Beletsi-Athens_Attica.html"
"Ναός της Αρτέμιδας ","The Sanctuary of Artemis","Μνημεία και αξιοθέατα Αρχαία ερείπια ","Βραυρώνα Αθήνα 19003,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d534539-Reviews-The_Sanctuary_of_Artemis-Athens_Attica.html"
"Ακτή Αλίμου ","Beach Club Alimos","Φύση και πάρκα Υπαίθριες δραστηριότητες Παραλίες ","Παραλία Ποσειδώνος Καλαμάκι, Άλιμος Αθήνα 174 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d241084-Reviews-Beach_Club_Alimos-Athens_Attica.html"
"Αγία Φωτεινή Ιλισσού ","Agia Fotini Ilissos","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Αρδηττού 3 Αθήνα 105 57,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d12447446-Reviews-Agia_Fotini_Ilissos-Athens_Attica.html"
"Άγιος Νικόλαος Ραγκαβά ","Ekklisia Agios Nikolaos Ragkava","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Πρυτανείου 1 & Τριπόδων, Πλάκα Αθήνα 105 56,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d10336639-Reviews-Ekklisia_Agios_Nikolaos_Ragkava-Athens_Attica.html"
"Ελληνική Ευαγγελική Εκκλησία ","Greek Evangelical Church","Μνημεία και αξιοθέατα Θρησκευτικές τοποθεσίες και ιεροί χώροι ","Λεωφ.Αμαλίας 50 Plaka Αθήνα 999-20,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d566813-Reviews-Greek_Evangelical_Church-Athens_Attica.html"
"Εκκλησία Άγιοι Θεώδοροι ","Agioi Theodoroi Church","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Agion Theodoron Πλατεία Κλαυθμώνος Αθήνα 105 61,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d11804223-Reviews-Agioi_Theodoroi_Church-Athens_Attica.html"
"Πλατεία Αβησσυνίας ","Avysinias Square","Μνημεία και αξιοθέατα Ψώνια ","Μοναστηράκι Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198948-Reviews-Avysinias_Square-Athens_Attica.html"
"Εθνικό Θέατρο ","National Theatre of Greece","Συναυλίες και παραστάσεις Θέατρα ","Αγίου Κωνσταντίνου 22-24 Αθήνα 10437,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d10494284-Reviews-National_Theatre_of_Greece-Athens_Attica.html"
"Ρωμαϊκά λουτρά ","Ancient Bath","Μνημεία και αξιοθέατα Αρχαία ερείπια Μνημεία και σημεία ενδιαφέροντος ","Λεωφόρος Βασιλίσσης Αμαλίας 405 Αθήνα 10557,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d13002047-Reviews-Ancient_Bath-Athens_Attica.html"
"Ίδρυμα Εικαστικών Τεχνών & Μουσικής ","B. & M. Theocharakis Foundation","Μουσεία Εξειδικευμένα μουσεία ","1 Merlin Αθήνα 106 71,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2662540-Reviews-B_M_Theocharakis_Foundation-Athens_Attica.html"
"Λαϊκή Αγορά ","Laiki Farmer's Market","Φαγητό και ποτό Ψώνια Λαϊκές αγορές ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d12706357-Reviews-Laiki_Farmer_s_Market-Athens_Attica.html"
"Μουσείο Παύλου και Αλεξάνδρας Κανελλοπούλου ","Museum of Pavlos and Alexandra Kanellopoulos","Μουσεία Εξειδικευμένα μουσεία ","Θεωριας 12 & Πάνος, Πλάκα Αθήνα 105 55,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242831-Reviews-Museum_of_Pavlos_and_Alexandra_Kanellopoulos-Athens_Attica.html"
"ΜΟΥΣΕΙΟ ΣΥΝΑΙΣΘΗΜΑΤΩΝ ","Emotions Museum","Μουσεία Μουσεία για παιδιά Εξειδικευμένα μουσεία ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2663191-Reviews-Emotions_Museum-Athens_Attica.html"
"Θέατρο Χυτήριο ","Theatro Chytirio","Συναυλίες και παραστάσεις Θέατρα ","Ιερά Οδός 44 Αθήνα 104 35,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d9829572-Reviews-Theatro_Chytirio-Athens_Attica.html"
"Ιερός Ναός Αγίου Νικολάου Ραγκαβά ","Agios Nicholas Rangavas Church","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Πρυτανείου 1 & Τριπόδων, Πλάκα Αθήνα 10558,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d10322936-Reviews-Agios_Nicholas_Rangavas_Church-Athens_Attica.html"
"Ιερός Ναός Αγίου Νικολάου ","Church of Agios Nikolaos","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί Θρησκευτικές τοποθεσίες και ιεροί χώροι ","Πλατεία Αγίου Νικολάου Αθήνα 104 46,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8614639-Reviews-Church_of_Agios_Nikolaos-Athens_Attica.html"
"Πινακοθήκη Νίκου Χατζηκυριάκου-Γκίκα ","Pinakothiki Nikos Hadjikyriakos-Ghikas","Μουσεία Μουσεία τέχνης ","Κριεζώτου 3 Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8016917-Reviews-Pinakothiki_Nikos_Hadjikyriakos_Ghikas-Athens_Attica.html"
"Άγιος Νικόλαος Πευκακίων ","Saint Nicholas Pefkakia","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Ασκληπιού 38 Αθήνα 10680,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d10786929-Reviews-Saint_Nicholas_Pefkakia-Athens_Attica.html"
"Μητρόπολη Ορθοδόξων Αρμενίων ","Armenian Orthodox Cathedral","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί ","Κριεζη 10 Αθήνα 10553,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d15324794-Reviews-Armenian_Orthodox_Cathedral-Athens_Attica.html"
