grTitle,enTitle,longitude,latitude
"Ναός Αγίου Βασιλείου Αγοράς Άρτας","Church of Agios Vasilios tis Agoras at Arta","20.985017","39.16364"
"Ναός Αγίου Γεωργίου στην Ομορφοκκλησιά","Church of Agios Georgios at Omorfokklisia","21.120903","40.431498"
"Ναός Αγίου Γεωργίου στην Ανεμώτια","Church of Agios Georgios at Anemotia","26.104135","39.246772"
"Ναός Αγίου Γεωργίου Ρεπανιδίου","Church of Agios Georgios in Repanidi","25.298892","39.92211"
"Ναός Αγίου Θεράποντα Μυτιλήνης","Church of Agios Therapon in Mytilene","26.554939","39.105098"
"Άγιος Ιωάννης ο Πρόδρομος (Επτά Bήματα)","St. John (Ayios Ioannes) Prodromos","27.285546","36.887865"
"Ναός Αγίου Ιωάννου Κεραμίου","Church of Agios Ioannis in Kerami","26.207619","39.215434"
"Ναός Αγίου Νικολάου","Church of Agios Nikolaos","21.825575","38.295802"
"Ναός Αγίου Νικολάου","Church of Agios Nikolaos","22.334789","36.807004"
"Ναός Αγίου Στεφάνου στην Καστοριά","Church of Agios Stefanos at Kastoria","21.272859","40.51927"
"Ναός Αγίων Θεοδώρων, Αθήνα","Church of Agioi Theodoroi at Athens","23.73008","37.979384"
"Ναός Αθηνάς Κραναίας","Temple of Athena Kranaia","22.763215","38.626912"
"Ναός Ασκληπιού στο Λεβήνα","Temple of Asklepios at Lebenas","24.924301","34.930196"
"Βιβλιοθήκη Λευκάδας","Library of Lefkada","20.708756","38.833912"
"Ναός Στρατίου Διός","Temple of Zeus at Stratos","21.311267","38.671164"
"Ιερός Ναός Κοίμησης Θεοτόκου Αγίας Τριάδας","Church of the Assumption at Merbaka","22.805991","37.637748"
"Βουλή των Ελλήνων","Parliament Building","23.736874","37.975337"
"Ναός Κοιμήσεως της Θεοτόκου Αγιάσου","Church of the Koimisi tis Theotokou at Agiasos","26.37234","39.081567"
"Ναός Κοίμησης Θεοτόκου Καλαμπάκας","Church of the Dormition of Virgin Mary in Kalampaka","21.628027","39.709931"
"Γενί Τζαμί Μυτιλήνης","Yeni Djami in Mitilini","26.557514","39.110144"
"Τοξωτή γέφυρα στην Κερασιά Μαγνησίας","Bridge at Kerassia","22.923513","39.465238"
"Ναός Κοίμησης της Θεοτόκου στην Πέτρα","Church of the Koimisi Theotokou at Petra","26.175892","39.326802"
"Γεφύρι της Άρτας","The brigde of Arta","20.974719","39.151831"
"Ναός Μεταμόρφωσης του Σωτήρος στο Νομιτσί","Church of the Metamorfosi  Sotira at Nomitsi","22.323857","36.793826"
"Ναός Μεταμόρφωσης του Σωτήρα Χριστού Παπιανών","Church of the Metamorfosi Sotira Christou at Papiana","26.20969","39.212963"
"Μυκηναϊκή Γέφυρα Καζάρμας","Mycenaean bridge at Kazarma","22.9375","37.5936"
"Γαλλικό Ινστιτούτο Καλαμάτας - Οικία Εφεσίου","French Institute of Kalamata","22.114459","37.042024"
"Γκάζι","Gazi (Gaz) Factory Workshops","23.71408","37.977839"
"Παναγία Κουμπελίδικη ή Καστριώτισσα στην Καστοριά","Church of Panagia Koumbelidiki or Kastriotissa at Kastoria","21.268791","40.518085"
"Ναός Παναγίας Κρήνας","Church of Panagia Krinas at Vavyli","26.081908","38.316121"
"Ναός Παναγίας Οδηγήτριας Απόλπαινας","Church of Panagia Odigitria at Apolpena","20.695578","38.822177"
"Ναός Παναγίας Καθολικής Γαστούνης","Church of Panagia Katholiki at Gastouni","21.243184","37.845939"
"Παναγία Γοργοεπήκοος","Panagia Gorgoepikoos","23.729994","37.97506"
"Ναός Παναγίας Τρουλωτής","Church of Panagia Troulloti","26.49826","39.174929"
"Ναός Ταξιαρχών Δράμας","Church of the Taxiarches at Drama","24.14454","41.15068"
"Νομαρχία Ηρακλείου","Prefecture of Herakleion","25.136358","35.337928"
"Νομαρχία Λέσβου","Lesbos Prefecture Building","26.556127","39.103169"
"Νομαρχιακό Μέγαρο Χανίων","Prefecture of Chania","24.030739","35.509643"
"Οικία A Tυλίσου","House A at Tylissos","25.020579","35.298426"
"Οικία Ελευθερίου Βενιζέλου","Residence of Eleutherios Venizelos","24.03874","35.518408"
"Οικία - Μουσείο Αλέξανδρου Παπαδιαμάντη στη Σκιάθο Μαγνησίας","House - Museum of Papadiamandi","23.490333","39.163118"
"Ρωμαϊκή οικία Κω","Roman Villa","27.28844","36.889908"
"Οσμανιέ Τζαμί στην πόλη Χίου","Osmanie Djami","26.136119","38.372827"
"Οφθαλμιατρείο Αθηνών","Eye-Clinic","23.734173","37.979355"
"Μέγαρο της Παλαιάς Βουλής","Old Parliament Building","23.732826","37.977657"
"Ναός Κοίμησης της Θεοτόκου (Παλαιά Μητρόπολη)","Church of the Dormition of Virgin Mary (Old Cathedral)","22.053224","40.800595"
"Ζαχαροπλαστείο \"Ακταίον\" στο Μανδράκι","Aktaion at Mandraki","28.224902","36.449089"
"Ναός Παλαιάς Μητρόπολης Σερρών","Old Cathedral of Serres","23.553974","41.094538"
"Παλιό Δημοτικό Σχολείο Καλοχωρίου Λάρισας","Old Primary School at Kalochori","22.54579","39.720456"
"Παλαιοχριστιανική Βασιλική Αγίου Ανδρέα Ερεσού","Basilica of Agios Andreas","25.932543","39.135042"
"Ηρώο Καλυδώνας","Heroon of Kalydon","21.532894","38.372759"
"Βασιλική Αγίου Αχιλλείου","Basilica of Agios Achillios","21.081865","40.787607"
"Παλαιοχριστιανική Βασιλική στην Αλμυρίδα Αποκορώνου","Early Christian Basilica at Almyrida","24.19657","35.449241"
"Ιμαρέτ","Imaret","25.40207","41.119111"
"Παναθηναϊκό Στάδιο","Panathenaic Stadium","23.740956","37.968379"
"Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών","National and Kapodistrian University of Athens","23.733738","37.980763"
"Φοιτητική Λέσχη Πανεπιστημίου Αθηνών","Student Club of the University of Athens","23.733669","37.982016"
"Παραπορτιανή","Paraportiani","25.325812","37.447148"
"Παρθεναγωγείο Μυτιλήνης","Girls' School of Mytilene","25.268296","39.874027"
"Παλαιό Πιλοποιείο Πουλόπουλου","Poulopoulos Old Hat-Factory","23.714279","37.976225"
"Πολύκεντρο Πολιχνίτου","Multi-Cultural Centre at Polichnitos","26.184091","39.080372"
"Κληροδότημα Κουτσοδόντη - Πρώτο Νοσοκομείο Ερμούπολης","Koutsodontis Inheritance - First Hospital","24.944876","37.445564"
"Πρώτο Γυμνάσιο Μυτιλήνης","First Gymnasium of Mytilene","26.554191","39.104423"
"Πρώτο Ελληνικό Γυμνάσιο","First Hellenic Gymnasion (Elementary School)","22.799935","37.565711"
"Πύλη του Αδριανού","Hadrian's Arch","23.732011","37.970219"
"Πυρά Ηρακλέους","Pyra (Fireplace) of Herakles","22.30577","38.743891"
"Πυραμίδα Ελληνικού","Pyramid of Hellenikon of the 4th c. B.C.","22.441697","37.351414"
"Πύργος Αμπελοράβδη","Ambeloravdis Tower","20.839391","37.800353"
"Σιδηροδρομικός σταθμός Πειραιώς - Αθηνών - Πελοποννήσου","Railway Station (Piraeus-Peloponnese)","23.720829","37.992311"
"Μονή Παναγίας Σκριπούς","Monastery of Skripou","22.976376","38.49386"
"Σχολείο Αγίας Παρασκευής","School at Agia Paraskevi","26.270916","39.246197"
"Τάφος οικοπέδου Μαθιουλάκη στην πόλη Χανίων (Κυδωνία)","Tomb in Mathioulakis' plot","24.018854","35.516229"
"Τείχος Αρχαίας Αμβρακίας","Fortification walls of Ancient Ambracia","20.987223","39.16647"
"Τρόπαιο της μάχης των Λεύκτρων","Monument (Trophy) of The Battle of Leuktra","23.174275","38.264674"
"Τύμβος Αθηναίων στο Μαραθώνα","Tomb at Marathonas","23.978326","38.117969"
"Ρωμαϊκό Υδραγωγείο Νικόπολης","Roman aqueduct of Nikopolis","20.848827","39.271085"
"Ωδείο Πατρών","Odeion of Patras","21.738274","38.243322"
"Ωδείο Γόρτυνας","Odeion of Gortyn","24.946867","35.063088"
"Ωρολόγιο Ανδρονίκου Κυρρήστου","Horologion of Andronikos Kyrristos","23.727006","37.974208"
"Μονή Ταξιαρχών Λειμώνος στα Δάφια","Monastery of Taxiarches Leimonos in Dafia","26.172332","39.247905"
"Μονή Παμμεγίστων Ταξιαρχών Μανταμάδου","Monastery of Pammegiston Taxiarchon in Mantamados","26.338525","39.317217"
"Μονή Περιβολής Άντισσας","Monastery of Perivoli in Antissa","26.001404","39.244334"
"Μονή Υψηλού","Monastery of Ypsilou","25.935659","39.231383"
"Μυκηναϊκό Ανάκτορο Διμηνίου","The Mycenaean palace at Dimini","22.893807","39.360974"
"Ναός Αγίων Θεοδώρων Λιβανάτων","Church of the Agioi Theodoroi at Livanates","23.063875","38.711392"
"Καθολικό Μονής Αγίου Βλασίου","Katholikon of the Agios Vlasios monastery","22.64319","38.928964"
"Ναός Αγίου Γεωργίου Σφάκας","Church of Agios Georgios","22.919744","38.562613"
"Ναός Αγίου Νικολάου","Church of Agios Nikolaos","23.286497","38.547612"
"Καθολικό Mονής Δαδίου","Katholikon of the Dadiou monastery","22.574447","38.634724"
"Πύργος Αχινού","Tower of Achinos","22.726274","38.894582"
"Καθολικό Mονής Ταξιαρχών","Katholikon of the Taxiarches monastery","22.923655","38.579163"
